nomor_pohon,barcode_pohon,nama_lokal,nama_latin,Group,Icon,status_iucn,diameter,tinggi,unit_PS,jenis_lahan,nama_khas_wilayah,Latitude,Longitude,elevasi,jarak_permukiman,status_adopsi,nama_pengadopsi,masa_berlaku,nama_surveyor,waktu_survei,harga_adopsi,serapan_karbon,penyedia_bibit,metode_karbon,Image1,Image1Caption,Image1Source,Image1SourceLink,Image2,Image2Caption,Image2Source,Image2SourceLink,Image3,Image4,chart_link
1019,1904A09SMLJ0000000000129406,Gurah,-,Pohon Muda,icon/young_tree.svg,Not Defined,28,10,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,2.131599463,116.8007233,3.589316903,3.22,Belum,-,-,Sudirman,28/09/2021 10:10,50000,1185.11,-,"Brown, 1997",media/1632798573612.jpg,Caption,Source,SourceLink,media/1632798585923.jpg,Caption,Source,SourceLink,media/1632798599164.jpg,media/1632798608654.jpg,
1021,1904A09SMLJ0000000000129407,Gurah,-,Pohon Muda,icon/young_tree.svg,Not Defined,31,15,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,2.13165374,116.8006783,4.477836269,3.22,Belum,-,-,Sudirman,28/09/2021 10:13,50000,1533.19,-,"Brown, 1997",media/1632798712690.jpg,Caption,Source,SourceLink,media/1632798723331.jpg,Caption,Source,SourceLink,media/1632798754920.jpg,media/1632798773019.jpg,
1029,1904A09SMLJ0000000000129408,Bayan,-,Pohon Muda,icon/young_tree.svg,Not Defined,28,18,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,2.132246161,116.8007341,13.02063519,3.22,Belum,-,-,Khomidi,28/09/2021 09:48,50000,1185.11,-,"Brown, 1997",media/1632797220643.jpg,Caption,Source,SourceLink,media/1632797243003.jpg,Caption,Source,SourceLink,media/1632797262216.jpg,media/1632797272463.jpg,
1030,1904A09SMLJ0000000000129409,Gurah,-,Pohon Dewasa,icon/mature_tree.svg,Not Defined,41,25,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,2.1324093,116.8006178,10.35802884,3.22,Belum,-,-,Sudirman,28/09/2021 09:52,200000,3110.23,-,"Brown, 1997",media/1632797485910.jpg,Caption,Source,SourceLink,media/1632797506869.jpg,Caption,Source,SourceLink,media/1632797528242.jpg,media/1632797540404.jpg,
1057,1904A09SMLJ0000000000129411,Simpur,Dillenia sp.,Pohon Muda,icon/young_tree.svg,Least Concern,20,15,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,2.133325292,116.8009215,16.01627421,3.21,Belum,-,-,Khomidi,28/09/2021 09:55,50000,497.93,-,"Chave et al, 2014",media/1632797657671.jpg,Caption,Source,SourceLink,media/1632797680183.jpg,Caption,Source,SourceLink,media/1632797700254.jpg,media/1632797709814.jpg,
1065,1904A09SMLJ0000000000129412,Gurah,-,Pohon Muda,icon/young_tree.svg,Not Defined,35,10,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Kesumbo Ampai,2.132550523,116.8009391,-3.297249419,3.22,Belum,-,-,Sudirman,28/09/2021 10:01,50000,2084.21,-,"Brown, 1997",media/1632798026831.jpg,Caption,Source,SourceLink,media/1632798043763.jpg,Caption,Source,SourceLink,media/1632798058028.jpg,media/1632798066799.jpg,
1068,1904A09SMLJ0000000000129413,Kempas,Koompassia malaccensis,Pohon Dewasa,icon/mature_tree.svg,Conservation dependent,50,45,Hutan Adat Kesumbo Ampai,Mineral,Kesumbo Ampai,2.132205966,116.8008561,46.39452099,3.22,Belum,-,-,Hari Yudistira,5/10/2021 10:48,200000,11435.07,-,"Chave et al, 2014",media/1633463241879.jpg,Caption,Source,SourceLink,media/1633463259998.jpg,Caption,Source,SourceLink,media/1633463276290.jpg,media/1633463299012.jpg,
1103,1904A09SMLJ0000000000129414,Daru daru,Cantleya malayana,Pohon Dewasa,icon/mature_tree.svg,Not Defined,41,42,Hutan Adat Kesumbo Ampai,Mineral,Kesumbo Ampai,2.128930289,116.8008273,42.9183582,3.22,Belum,-,-,Hari Yudistira,5/10/2021 10:51,200000,3110.23,-,"Chave et al, 2014",media/1633463423488.jpg,Caption,Source,SourceLink,media/1633463438602.jpg,Caption,Source,SourceLink,media/1633463464107.jpg,media/1633463490279.jpg,
1106,1904A09SMLJ0000000000129415,Kedondong hutan,Spondias dulcis,Pohon Dewasa,icon/mature_tree.svg,Not Defined,42,30,Hutan Adat Kesumbo Ampai,Mineral,Kesumbo Ampai,2.128716834,116.8008699,49.98795287,3.14,Belum,-,-,Hari Yudistira,5/10/2021 10:55,200000,2314.08,-,"Chave et al, 2014",media/1633463678343.jpg,Caption,Source,SourceLink,media/1633463694633.jpg,Caption,Source,SourceLink,media/1633463712761.jpg,media/1633463738809.jpg,
1122,1904A09SMLJ0000000000129417,Meranti,Shorea sp.,Pohon Dewasa,icon/mature_tree.svg,Not Defined,75,50,Hutan Adat Kesumbo Ampai,Mineral,Kesumbo Ampai,2.127531178,116.8009461,28.33004747,3.15,Belum,-,-,Hari Yudistira,5/10/2021 10:59,200000,19742.87,-,"Chave et al, 2014",media/1633463897563.jpg,Caption,Source,SourceLink,media/1633463914687.jpg,Caption,Source,SourceLink,media/1633463931929.jpg,media/1633463950058.jpg,
1127,1904A09SMLJ0000000000129416,Seminai,Madhuca utilis,Pohon Dewasa,icon/mature_tree.svg,Endangered,106,50,Hutan Adat Kesumbo Ampai,Mineral,Kesumbo Ampai,2.127228786,116.8008678,41.14190622,3.14,Belum,-,-,Hari Yudistira,5/10/2021 11:07,200000,63293.12,-,"Chave et al, 2014",media/1633464357636.jpg,Caption,Source,SourceLink,media/1633464377238.jpg,Caption,Source,SourceLink,media/1633464398034.jpg,media/1633464432480.jpg,
1137,1904A09SMLJ0000000000129418,Petaling,Ochanostachys amentacea,Pohon Dewasa,icon/mature_tree.svg,Data Deficient,45,30,Hutan Adat Kesumbo Ampai,Mineral,Kesumbo Ampai,2.129788045,116.8011313,38.46503035,3.12,Belum,-,-,Hari Yudistira,5/10/2021 11:16,200000,6080.49,-,"Chave et al, 2014",media/1633464896897.jpg,Caption,Source,SourceLink,media/1633464912524.jpg,Caption,Source,SourceLink,media/1633464930455.jpg,media/1633464956975.jpg,
1163,1904A09SMLJ0000000000129419,Darah darah,Myristica iners,Pohon Dewasa,icon/mature_tree.svg,Least Concern,56,50,Hutan Adat Kesumbo Ampai,Mineral,Kesumbo Ampai,2.131806521,116.8011088,46.60328052,3.17,Belum,-,-,Anton,5/10/2021 11:22,200000,9092.9,-,"Chave et al, 2014",media/1633465247600.jpg,Caption,Source,SourceLink,media/1633465265779.jpg,Caption,Source,SourceLink,media/1633465294477.jpg,media/1633465314150.jpg,
1171,1904A09SMLJ0000000000129420,Keranji,Diallium indum,Pohon Dewasa,icon/mature_tree.svg,Not Defined,43,40,Hutan Adat Kesumbo Ampai,Mineral,Kesumbo Ampai,2.132315341,116.8011372,51.1288811,3.16,Belum,-,-,Hari Yudistira,5/10/2021 11:25,200000,7540.34,-,"Chave et al, 2014",media/1633465470498.jpg,Caption,Source,SourceLink,media/1633465494407.jpg,Caption,Source,SourceLink,media/1633465513802.jpg,media/1633465530273.jpg,
1174,1904A09SMLJ0000000000129421,Kempas,Koompassia malaccensis,Pohon Dewasa,icon/mature_tree.svg,Conservation dependent,46,40,Hutan Adat Kesumbo Ampai,Mineral,Kesumbo Ampai,2.132342493,116.8012181,48.43956669,3.13,Belum,-,-,Putri,5/10/2021 11:30,200000,8662.19,-,"Chave et al, 2014",media/1633465758549.jpg,Caption,Source,SourceLink,media/1633465775587.jpg,Caption,Source,SourceLink,media/1633465791769.jpg,media/1633465807553.jpg,
1175,1904A09SMLJ0000000000129422,Kempas,Koompassia malaccensis,Pohon Dewasa,icon/mature_tree.svg,Conservation dependent,45,41,Hutan Adat Kesumbo Ampai,Mineral,Kesumbo Ampai,2.132826284,116.8012279,47.86130659,3.15,Belum,-,-,Hari Yudistira,5/10/2021 11:33,200000,8500.84,-,"Chave et al, 2014",media/1633465946749.jpg,Caption,Source,SourceLink,media/1633465963938.jpg,Caption,Source,SourceLink,media/1633465989376.jpg,media/1633466021092.jpg,
1181,1904A09SMLJ0000000000129423,Kulim,Scorodocarpus borneensis,Pohon Dewasa,icon/mature_tree.svg,Not Defined,42,35,Hutan Adat Kesumbo Ampai,Mineral,Kesumbo Ampai,2.132935623,116.8012284,47.51750781,3.14,Belum,-,-,Herman,5/10/2021 11:36,200000,5789.64,-,"Chave et al, 2014",media/1633466151810.jpg,Caption,Source,SourceLink,media/1633466171825.jpg,Caption,Source,SourceLink,media/1633466198273.jpg,media/1633466210286.jpg,
1188,1904A09SMLJ0000000000129424,Kelat,Eugenia sp.,Pohon Dewasa,icon/mature_tree.svg,Least Concern,75,50,Hutan Adat Kesumbo Ampai,Mineral,Kesumbo Ampai,2.133484792,116.8011218,36.08891795,3.14,Belum,-,-,Hari Yudistira,5/10/2021 11:41,200000,23935.98,-,"Chave et al, 2014",media/1633466428753.jpg,Caption,Source,SourceLink,media/1633466446207.jpg,Caption,Source,SourceLink,media/1633466464928.jpg,media/1633466488880.jpg,
1213,1904A09SMLJ0000000000129425,Seminai,Madhuca utilis,Pohon Dewasa,icon/mature_tree.svg,Endangered,45,50,Hutan Adat Kesumbo Ampai,Mineral,Kesumbo Ampai,2.13192425,116.8014963,38.51705769,3.14,Belum,-,-,Anton,5/10/2021 11:44,200000,11885.85,-,"Chave et al, 2014",media/1633466601744.jpg,Caption,Source,SourceLink,media/1633466618779.jpg,Caption,Source,SourceLink,media/1633466642239.jpg,media/1633466662801.jpg,
1231,1904A09SMLJ0000000000129426,Seminai,Madhuca utilis,Pohon Dewasa,icon/mature_tree.svg,Endangered,80,52,Hutan Adat Kesumbo Ampai,Mineral,Kesumbo Ampai,2.129546882,116.8014582,55.71332271,3.14,Belum,-,-,Tarman,5/10/2021 11:50,200000,37967.82,-,"Chave et al, 2014",media/1633466980084.jpg,Caption,Source,SourceLink,media/1633466992941.jpg,Caption,Source,SourceLink,media/1633467009188.jpg,media/1633467033552.jpg,
